,Screening tool: outcome variable,index,Estiamte (95% CI),Odds Ratio (95% CI),P,P (S.N)
21,Final outcome A,Final_MOS_score,"-0.616 (-0.869, -0.362)","0.54 (0.419, 0.696)",0.0,1.9403E-06
17,Final outcome A,medical_pregnancy_problem_Problem,"-0.43 (-1.677, 0.818)","0.651 (0.187, 2.265)",0.5,4.9963E-01
18,Final outcome A,c_section_True,"0.285 (-0.721, 1.291)","1.33 (0.486, 3.636)",0.579,5.7883E-01
13,Final outcome A,Sex_M,"-0.327 (-1.111, 0.458)","0.721 (0.329, 1.581)",0.415,4.1451E-01
16,Final outcome A,Preterm_True,"0.617 (-1.048, 2.283)","1.854 (0.351, 9.802)",0.468,4.6765E-01
14,Final outcome A,Cast_code_extract_OBC,"0.064 (-0.735, 0.863)","1.066 (0.48, 2.371)",0.875,8.7493E-01
15,Final outcome A,Cast_code_extract_GENERAL,"-0.11 (-2.265, 2.044)","0.896 (0.104, 7.725)",0.92,9.2023E-01
12,Final outcome A,malnourished,"2.605 (1.776, 3.435)","13.538 (5.908, 31.022)",0.0,7.3487E-10
20,Final outcome A,Birth_weight_below_2_5kg_True,"0.027 (-0.883, 0.937)","1.027 (0.413, 2.553)",0.954,9.5371E-01
19,Final outcome A,institution_delivery_True,"-0.802 (-2.595, 0.991)","0.448 (0.075, 2.694)",0.381,3.8069E-01
4,Final outcome B,Cast_code_extract_OBC,"0.009 (-0.572, 0.591)","1.009 (0.565, 1.805)",0.975,9.7456E-01
5,Final outcome B,Cast_code_extract_GENERAL,"1.052 (-0.043, 2.146)","2.863 (0.958, 8.552)",0.06,5.9613E-02
9,Final outcome B,institution_delivery_True,"-0.616 (-1.927, 0.694)","0.54 (0.146, 2.002)",0.357,3.5663E-01
6,Final outcome B,Preterm_True,"0.661 (-0.262, 1.584)","1.937 (0.77, 4.874)",0.16,1.6030E-01
10,Final outcome B,Birth_weight_below_2_5kg_True,"0.261 (-0.366, 0.888)","1.298 (0.694, 2.43)",0.414,4.1423E-01
3,Final outcome B,Sex_M,"0.2 (-0.351, 0.751)","1.221 (0.704, 2.119)",0.477,4.7731E-01
1,Final outcome B,malnourished,"2.871 (2.261, 3.481)","17.662 (9.597, 32.502)",0.0,2.7737E-20
8,Final outcome B,c_section_True,"0.042 (-0.705, 0.789)","1.042 (0.494, 2.2)",0.913,9.1304E-01
2,Final outcome B,Aberrant_GM_MOS_below23,"1.043 (0.479, 1.608)","2.838 (1.614, 4.992)",0.0,2.9300E-04
7,Final outcome B,medical_pregnancy_problem_Problem,"-0.066 (-0.882, 0.75)","0.936 (0.414, 2.118)",0.874,8.7446E-01
