,Screening tool: outcome variable,index,Estiamte (95% CI),Odds Ratio (95% CI),P,P (S.N)
1,GMA: MOS-R,malnourished,"-2.628 (-3.349, -1.907)",,0.0,1.7038E-12
4,GMA: MOS-R,Cast_code_extract_GENERAL,"0.437 (-0.475, 1.349)",,0.347,3.4693E-01
6,GMA: MOS-R,medical_pregnancy_problem_Problem,"-0.208 (-1.003, 0.587)",,0.607,6.0725E-01
7,GMA: MOS-R,c_section_True,"0.268 (-0.287, 0.824)",,0.343,3.4346E-01
2,GMA: MOS-R,Sex_M,"-0.364 (-0.801, 0.074)",,0.103,1.0302E-01
5,GMA: MOS-R,Preterm_True,"0.216 (-1.294, 1.726)",,0.779,7.7885E-01
3,GMA: MOS-R,Cast_code_extract_OBC,"0.151 (-0.313, 0.615)",,0.522,5.2238E-01
9,GMA: MOS-R,Birth_weight_below_2_5kg_True,"-0.678 (-1.288, -0.068)",,0.029,2.9460E-02
8,GMA: MOS-R,institution_delivery_True,"0.006 (-1.334, 1.346)",,0.993,9.9300E-01
14,GMA: Aberrnat GMs (MOS-R < 23),Cast_code_extract_GENERAL,"-0.438 (-0.983, 0.108)","0.645 (0.374, 1.114)",0.116,1.1570E-01
15,GMA: Aberrnat GMs (MOS-R < 23),Preterm_True,"0.427 (-0.172, 1.026)","1.532 (0.842, 2.789)",0.162,1.6240E-01
11,GMA: Aberrnat GMs (MOS-R < 23),malnourished,"1.263 (0.924, 1.602)","3.536 (2.519, 4.964)",0.0,2.9094E-13
13,GMA: Aberrnat GMs (MOS-R < 23),Cast_code_extract_OBC,"-0.318 (-0.569, -0.066)","0.728 (0.566, 0.936)",0.013,1.3391E-02
12,GMA: Aberrnat GMs (MOS-R < 23),Sex_M,"-0.137 (-0.378, 0.103)","0.872 (0.685, 1.108)",0.262,2.6213E-01
17,GMA: Aberrnat GMs (MOS-R < 23),c_section_True,"0.078 (-0.23, 0.386)","1.082 (0.795, 1.472)",0.618,6.1774E-01
16,GMA: Aberrnat GMs (MOS-R < 23),medical_pregnancy_problem_Problem,"0.11 (-0.294, 0.514)","1.116 (0.745, 1.672)",0.594,5.9409E-01
19,GMA: Aberrnat GMs (MOS-R < 23),Birth_weight_below_2_5kg_True,"0.381 (0.071, 0.69)","1.464 (1.074, 1.995)",0.016,1.5857E-02
18,GMA: Aberrnat GMs (MOS-R < 23),institution_delivery_True,"0.278 (-0.442, 0.998)","1.32 (0.643, 2.713)",0.449,4.4940E-01
