,Screening tool: outcome variable,Model,Predictors,Estiamte (95% CI),Odds Ratio (95% CI),P,P (S.N)
0,GMA: Aberrnat GMs (MOS-R < 23),Multiple logistic regression,Intercept,"-0.971 (-1.764, -0.179)","0.379 (0.171, 0.836)",0.016,1.6246E-02
1,,,malnourished,"1.044 (0.282, 1.807)","2.842 (1.325, 6.094)",0.007,7.2884E-03
2,,,Sex_M,"-0.438 (-1.092, 0.216)","0.645 (0.336, 1.242)",0.19,1.8965E-01
3,,,Cast_code_extract_OBC,"-0.108 (-0.799, 0.583)","0.897 (0.45, 1.791)",0.759,7.5888E-01
4,,,Cast_code_extract_GENERAL,"0.758 (-0.654, 2.17)","2.134 (0.52, 8.761)",0.293,2.9287E-01
5,,,c_section_True,"-0.25 (-0.935, 0.436)","0.779 (0.392, 1.546)",0.475,4.7529E-01
6,,,Birth_weight_below_2_5kg_True,"0.764 (0.063, 1.464)","2.146 (1.065, 4.324)",0.033,3.2664E-02
7,Final outcome B,,Intercept,"-4.878 (-6.96, -2.795)","0.008 (0.001, 0.061)",0.0,4.4064E-06
8,,,malnourished,"2.159 (0.841, 3.476)","8.66 (2.319, 32.34)",0.001,1.3224E-03
9,,,Aberrant_GM_MOS_below23,"0.574 (-0.596, 1.744)","1.775 (0.551, 5.719)",0.336,3.3625E-01
10,,,Sex_M,"1.019 (-0.208, 2.246)","2.77 (0.812, 9.453)",0.104,1.0373E-01
11,,,Cast_code_extract_OBC,"-0.528 (-1.762, 0.706)","0.59 (0.172, 2.026)",0.402,4.0187E-01
12,,,Cast_code_extract_GENERAL,"2.163 (-0.226, 4.551)","8.694 (0.798, 94.768)",0.076,7.5990E-02
13,,,c_section_True,"-0.266 (-1.639, 1.107)","0.766 (0.194, 3.026)",0.704,7.0420E-01
14,,,Birth_weight_below_2_5kg_True,"1.78 (0.163, 3.397)","5.93 (1.178, 29.862)",0.031,3.0915E-02
